1     x   1ju3            Monomer      34.8          —               —           8.00              Cocaine Esterase                Rodhococcus sp. mb1          30                         20436035

2         1hml            Monomer      39.8         1.10             52          7.00             alpha-Lactalbumin                    Homo sapiens             37                         2605208

3         1ihb_a          Homo2-mer    41.5          —               —           7.50                 p18INK4c                         Homo sapiens             37                         12370184

4     x   1blc            Homo2-mer    41.6          —              111          7.50              beta-Lactamase                  Staphylococcus aureus        34                         8286328

5     x   1d0b            Monomer      42.1          —               —           7.50                 Internalin B                 Lysteria monocytogen         33                         15003459

"6     x   1chk_a          Monomer      43.2          —              125          7.00                Chitosanase                   Streptomyces sp N174         30               17644457,9989221"

7     x   1aqh            Monomer      43.7         8.46            238          7.20               alpha-Amylase                Pseudomonas Haloplanktis       26                         10194383

8     x   1f0l_ [1-187]   Monomer      44.2         3.50            110          8.00         Diphteria Toxin Fragment A        Corynebacterium diphtheriae     36                         2271548

9     x   1mac            Monomer      44.5         1.98            119          6.00              beta-Gluacanase                   Bacillus macerans          30                          8931144

10         1s3g            Monomer      44.6         2.30             76          6.80              Adenylate Kinase               Sporosarcina globispora       25                         16125837

11     x   1fga            Monomer      45.0          —               —           7.20          Fibroblast Growth Factor                Homo sapiens             37                         7678726

12         1rtp_1          Monomer      45.8          —               70          7.40             alpha-Parvalbumin                     Rattus Rattus           37                         9929009

13     x   2wsy_a          Hete4-mer    46.0          —               —           7.00       Tryptophan synthase alpha su          Salmonella typhimurium        37                         3126743

14     x   1efc_a          Monomer      46.5          —               —           7.60              Elongation Factor                  Escherichia Coli          37                         14691225

15     x   1msi            Monomer      46.7          —               55          7.00         Antifreeze protein (TypeIII)       Macrozoarces americanus        17                         17189482

16     x   1bu7_a          Monomer      47.0          —               —           7.00             Cytochrome P450                   Bacillus megaterium         30                         12401810

17         1p3j            Monomer      47.6          —               —           7.40              Adenylate Kinase                    Bacillus subtilis        35                         18621726

18     x   1aky            Monomer      47.8         2.03             82          7.50              Adenylate Kinase              Saccharomyces cerevisiae       28                         7635152

19         1mve            Monomer      48.0          —               —           7.00              beta-Gluacanase               FIbrobacter succinogenes       37                         21959377

20     x   1jnx            Monomer      48.3          —               —           7.00         Breast Cancer Associated 1               Homo sapiens             37                         14691225

21     x   1oa3            Monomer      49.2          —               —           8.00           Cel12 Endoglucanase               Trichoderma citrinoviride     25                         12649442

22         1chg            Monomer      49.2         4.51             90          7.00             Chymotrypsinogen                       Bos Taurus             38                         18201812

23     x   5dfr            Monomer      49.3          —               94          7.00          Dihydrofolate Reductase                Escherichia Coli          37                         7798183

24     x   1lni            Monomer      49.3         1.52             93          7.00              Ribonuclease T1               Streptomyces aureofaciens      28                         20340133

25     x   1g5a            Monomer      49.6          —               —           7.00               Amylosucrase                  Neisseria polysaccharea       36                         22210773

26     x   451c            Monomer      50.4          —               —           5.00              Cytochrome c551               Pseudomonas aeruginosa         37                         10608805

27     x   1kfw            Monomer      50.5          —               —           7.50                  Chitinase                   Arthrobacter sp. TAD20       28                         12915727

28     x   2cpp            Monomer      51.0         1.36             53          7.00             Cytochrome P450                   Pseudomonas putida          30                         20138909

29     x   1pii            Monomer      51.0          —               —           7.40           Anthranilate isomerase                Escherichia Coli          37                         8193151

30     x   1mj5            Monomer      51.0          —               —           7.00                    LinB                   Sphingomonas paucimobilis       30

31     x   1bmc            Monomer      51.0          —              155          7.00              beta-Lactamase                      Bacillus cereus          30                         1633173

"32     x   1wlg_a          Homo2-mer    52.5         4.78            247          7.00               Flagellar hook                Salmonella typhimurium        37               10069386,7658470"

33     x   1ayf_a          Homo2-mer    51.4         1.79             80          8.50                Adrenodoxin                         Bos Taurus             38                         7663346

34     x   4u2b            Monomer      51.5          —               —           7.50           Dienelactone hydrolase           Pseudomonas knackmussii        30                         25600287

"35     x   2rn2            Monomer      51.5          —               89        5.50/7.80           Ribonuclease H                     Escherichia Coli          37                7764048,1331044"

36     x   1btl            Monomer      51.5          —              131          6.80           Tem-1 beta-Lactamase                  Escherichia Coli          37                         11870868

37     x   1bd8            Monomer      51.9          —               —           7.50                 p19INK4d                         Homo Sapiens             37                         11786024

38     x   1mba            Monomer      52.0          —               —           7.00                 Myoglobin                       Aplysia Limacina          37

"39     x   9rnt            Monomer      52.1         1.59             98          7.00              Ribonuclease T1                   Aspergillus oryzae         35                8136367,1445858"

40     x   1ew4            Monomer      52.1          —               —           7.00                    Cyay                         Escherichia Coli          37                          147412

41     x   1am7_a          Homo3-mer    52.3          —              113          7.00                 Lyzozyme                 Enterobacteria Lambda Phage      37                         10556513

42     x   1avr            Monomer      52.5          —              163          8.00                  Annexin                         Homo sapiens             37                         9048549

43     x   3pep_179-326    Monomer      52.6          —               64          7.10             Pepsin C-terminal                      Sus Scrofa             39                         6799654

44     x   1h12            Monomer      52.6          —              251          7.50                  Xylanase                  Pseudomonas Haloplanktis       26                         12691750

"45     x   1ey0            Monomer      52.7         2.20             79          8.50          Staphylococcal Nuclease             Staphylococcus aureus        34       8518730,11023780,8580845"

"46         1ank_a          Monomer      52.9          —               97        6.80-7.40           Adenylate Kinase                   Escherichia Coli          37               2542263,16125837"

47     x   2nvh            Monomer      53.0         1.89             84          3.00              Interleukin1 beta                   Homo sapiens             37                         8049234

48     x   2fx5            Monomer      53.0          —               —           5.80                   Lipase                   Pseudomonas mendocina          30                         16823035

49     x   1cmb_ab         Homo2-mer    53.2         2.13            121          7.00           Methionine Repressor                  Escherichia Coli          37                         1390748

50     x   1rro            Monomer      53.6          —               75          7.40              beta-Parvalbumin                     Rattus Rattus           37                         9929009

51     x   1abe            Monomer      53.6         3.16            151          7.40         L-arabinose binding protein             Escherichia Coli          37                         6355105

52     x   1e21            Monomer      53.7          —               —           5.00               Ribonuclease A                     Homo sapiens             37                         12538908

53         1csp            Monomer      53.8         0.96             46          7.00             Cold Shock Protein                   Bacillus subtilis        37                         15784264

54     x   2vh7            Monomer      53.9         1.46             69          5.50             Acyl-Phosphatase                     Homo sapiens             37                         10026297

55     x   1hxn            Monomer      53.9          —               —           7.40                 Hemopexin                    Oryctogalus cuniculus        39                         8343510

56         1yea            Homo2-mer    54.0         1.58             71          6.00             Iso-2-Cytochrome               Saccharomyces cerevisiae       28                         10752615

57     x   1bni            Monomer      54.0         1.41            125          5.80                  Barnase                   Bacillus amyloliquefaciens     37                         8003984

58         1h8v_a          Monomer      54.4          —               —           8.00           Cel12 Endoglucanase                  Trichoderma reseei         28                         12649442

59     x   3uue            Monomer      54.6          —               .—          6.00                Lipase SMG1                    Malassezia globosa          33                         25837472

60     x   1ke4_a          Monomer      54.6          —              180          6.80           AmpC beta-Lactamase                   Escherichia Coli          37                         10493583

61     x   1oxa            Monomer      55.0          —               —           7.40             Cytochrome P450               Saccharopolyspora erythraea     26                         12401810

62     x   2ov0            Monomer      56.0          —               —           7.50                 Amicyanin                   Paracoccus denitrificans      34                         24704124

63         3pgk            Monomer      56.2          —               —           7.00          Phosphoglycerate kinase           Saccharomyces cerevisiae       28                         2653429

64         2rbi            Monomer      56.5          —              124          6.20                   Binase                      Bacillus intermedius        37                         10094494

65     x   1zym_b          Homo2-mer    56.7         2.70            143          7.50         (Amino-Terminal) Enzyme I               Escherichia Coli          37                         10892802

"66     x   1mjc            Monomer      56.9         0.76             43          7.00             Cold Shock Protein                  Escherichia Coli          37              10716191, 11567094"

67     x   3sil            Monomer      57.0          —               —           7.00                  Sialidase                  Salmonella typhimurium        37                         11742108

68     x   3ks3            Monomer      57.1          —               —           7.80           Carbonic Anhydrase II                  Homo sapiens             37                         25683338

69     x   2tdx            Monomer      57.1          —               —           7.50          Diphteria Toxin repressor        Corynebacterium diphtheriae     36                         16352732

70     x   1ten            Monomer      57.1          —               —           5.00                  Tenascin                        Homo sapiens             37                         9609701

71     x   1lmb_a          Monomer      57.2         1.44             68          7.00             Lambda Repressor             Enterobacteria Lambda Phage      37                         11969396

72         1xxn            Monomer      57.3         6.74           143.4         6.50               GH11 Xylanase                      Bacillus subtilis        35                         26955749

73     x   1ftg            Monomer      57.4          —               —           7.00               Apoflavodoxin                   Anabaena PCC7119            30                         8819170

74     x   3psg            Monomer      57.5         6.10            233          7.10                Pepsinogen                          Sus Scrofa             39                         7227510

75     x   1urp            Monomer      57.5          —               —           7.00          D-Ribose binding protein               Escherichia Coli          37                         17242374

76     x   1tca            Monomer      57.7          —               —           7.00                   Lipase                       Candida antarctica         32                         12968077

77     x   1v0s            Monomer      57.8          —               —           7.00              Phospholipase B                 Streptomyces sp. PMF         30                         14726207

78     x   1f0l_201-535    Monomer      57.9         4.30            190          8.00               Diphteria Toxin             Corynebacterium diphtheriae     36                         2271548

79     x   1faj            Homo6-mer    58.0          —               —           7.00              Pyrophosphatase                    Escherichia Coli          37                         10386872

80     x   1b8j_a          Homo2-mer    58.0          —              262          8.00            Alkaline phosphatase                 Escherichia Coli          37                         3262371

81     x   2st1            Monomer      58.5         4.80             88          8.00                  Subtilisin                Bacillus amyloliquefaciens     37                         2684274

"82     x   1qlp            Monomer      58.9          —               —           7.80               Alpha1-Trypsin                     Homo sapiens             37     11700071,11926819,12498804"

83         2cab            Monomer      59.0          —               —           6.10            Carbonic Anhydrase I                  Homo sapiens             37                         15794662

84     x   1pin_6-39       Monomer      59.0          —               —           7.00              Pin1 WW domain                      Homo sapiens             37                         16807295

85     x   1avu            Monomer      59.0          —               —           7.00              Trypsin Inhibitor                    Glycine max             28                         11969396

86     x   1ant            Homo2-mer    59.0          —               —           7.40                Antithrombin                      Homo sapiens             37                         12939144

"87     x   2a01            Monomer      59.2          —               41          7.40              Apolipoprotein A-I                  Homo sapiens             37     11123918,12173940,16430220"

"88         1wq5_a          Monomer      59.5         2.28             94          7.30       Tryptophan synthase alpha su              Escherichia Coli          37       1727648, 6384087, 6992862"

89     x   1ycc            Homo2-mer    60.0         1.58             81          6.00             Iso-1-Cytochrome               Saccharomyces cerevisiae       28                         10631980

